user,created_at,text
511NYMidHudson,1/17/2020 14:03,Construction on #NY17 EB from Sterling Mine Road - CR 72 to I-87 - NYS Thruwa
511NYMidHudson,1/17/2020 14:03,Construction on #NY117 Both directions from Annandale Road to Whipporpool Roa
511NYMidHudson,1/17/2020 14:03,Construction on #NY32 Both directions from Campagna Lane to Jenkenstown Roa
511NYMidHudson,1/17/2020 14:03,Construction on #NY211 Both directions from Tower Drive to Bart Bull Roa
511nyAlbany,1/17/2020 14:03,Construction on #NY50 Both directions from Charlton Road to Pine Grove Av
511NYMidHudson,1/17/2020 14:03,Construction on #PalisadesInterstateParkway NB from Exit 11 - New Hempstead Road - CR 80 - New Hempstead - New.
511nyAlbany,1/17/2020 14:03,Construction on #I90 WB at Exit 5; Everett Roa
511NYMidHudson,1/17/2020 14:03,Construction on #NY115 Both directions from Heritage Road to North Avenu
511nyAlbany,1/17/2020 14:03,Construction on #NY7 Both directions from South Street to Hoosick Roa
511NYMidHudson,1/17/2020 14:03,Construction on #US1 Both directions from WIllow Street to Grace Church Stree
511nyRochester,1/17/2020 14:03,Construction on #I390 SB at Exit 5 - McWhorter Roa
511nyAlbany,1/17/2020 14:03,Construction on #I90 WB from Exit 3; State Office Campus to Exit 2; Washington Avenu
511NYMidHudson,1/17/2020 14:01,Construction on #NY100B EB from Westchester View Lane to Sprain Brook State Parkwa
511NY,1/17/2020 14:01,Construction on #NY17 EB from Exit 125 - South Street; NY 17M to Exit 126 - NY 9
511NYMidHudson,1/17/2020 14:01,Construction on #US9W Both directions from E Bridge Street to Allen Stree
511NYMidHudson,1/17/2020 14:01,Construction on #TaconicStateParkway SB from Exit 31B - NY 301 Westbound; Kent/Putnam Valley Town Line to Exit 25.
511NY,1/17/2020 14:01,Construction on #I84 Both directions from Exit 4 (I-84) - NY17 to Binghamton/NYC to Exit 10 (I-84) - Newburgh (US.
511NYMidHudson,1/17/2020 14:01,Construction on #US9 Both directions from I-287 Exit Ramp; Tarrytown to NY 119 - White Plains Roa
511NY,1/17/2020 14:01,Construction on #I195 WB from East of Exit 2 - CR 524 to East of Exit 1 - US 20
511NYMidHudson,1/17/2020 14:01,Construction on #NY118 Both directions from Croton Lake Road; NY 129 to Hanover Stree
511NY,1/17/2020 14:01,Construction on #S9S SB at Exit 10 (RTE 154
511NYMidHudson,1/17/2020 14:01,Construction on #NY52 Both directions from Stone Castle Road to St Andrews Roa
511NY,1/17/2020 14:01,Construction on #US9W Both directions from Kendridge Farm Drive to Exit   - NY 21
511NYMidHudson,1/17/2020 14:01,Construction on #NY119 EB from Fulton Street to Central Avenue; NY 10
511NY,1/17/2020 14:01,Construction on #I84 EB from Exit 11 (I-84) - Wappingers Falls (NY 9D) to Exit 12 (I-84) - Fishkill (NY 52
511NYMidHudson,1/17/2020 14:01,Construction on #I84 WB from Exit 16 (I-84) - Taconic Parkway to Exit 15 (I-84) - Lime Kiln R
511NY,1/17/2020 14:01,Construction on #NY17M Both directions from South Street to Old Chester Roa
511NYMidHudson,1/17/2020 14:01,Construction on #NY17 EB from Exit 125 - South Street; NY 17M to Exit 126 - NY 9
511NY,1/17/2020 14:01,Construction on #US9W Both directions from Dick Williams Lane to Doris Stree
511NYMidHudson,1/17/2020 14:01,Construction on #I84 Both directions from Exit 4 (I-84) - NY17 to Binghamton/NYC to Exit 10 (I-84) - Newburgh (US.
511NY,1/17/2020 14:01,Construction on #HarrimanDriveNY17MExtension Both directions from South Street to NY 1
511NYMidHudson,1/17/2020 14:01,Construction on #US9W Both directions from Kendridge Farm Drive to Exit   - NY 21
511NY,1/17/2020 14:01,Construction on #NJ55 NB at North of Exit 35 - CR 674/Garden R
511NYMidHudson,1/17/2020 14:01,Construction on #I84 EB from Exit 11 (I-84) - Wappingers Falls (NY 9D) to Exit 12 (I-84) - Fishkill (NY 52
511NY,1/17/2020 14:01,Construction on #NY59 Both directions from South Route 303; Ramp to Broome Blv
511NYMidHudson,1/17/2020 14:01,Construction on #NY17M Both directions from South Street to Old Chester Roa
511NY,1/17/2020 14:01,Construction on #NY300 Both directions from Deer Run Road to Plains Roa
511NYMidHudson,1/17/2020 14:01,Construction on #US9W Both directions from Dick Williams Lane to Doris Stree
511NY,1/17/2020 14:01,Construction on #I287 NB at Exit 34 - CR 66
511NYMidHudson,1/17/2020 14:01,Construction on #HarrimanDriveNY17MExtension Both directions from South Street to NY 1
511NY,1/17/2020 14:01,Construction on #NY119 WB from Meadow Street to START ROUTE - US 
511NYMidHudson,1/17/2020 14:01,Construction on #NY59 Both directions from South Route 303; Ramp to Broome Blv
511NY,1/17/2020 14:01,Construction on #US6 Both directions from South Street to Minisink Avenu
511NYMidHudson,1/17/2020 14:01,Construction on #NY300 Both directions from Deer Run Road to Plains Roa
511NY,1/17/2020 14:01,Construction on #NY980TRiverRoad Both directions from Farmstead Road to Old Rte 9
511NYMidHudson,1/17/2020 14:01,Construction on #NY119 WB from Meadow Street to START ROUTE - US 
511NY,1/17/2020 14:01,Construction on #NY100A SB from Knollwood Road Extension to NY 119 - Tarrytown Road - Tarrytown - White Plain
511NYMidHudson,1/17/2020 14:01,Construction on #US6 Both directions from South Street to Minisink Avenu
511NY,1/17/2020 14:01,Construction on #US9W Both directions from Plum Point Lane to Union Avenu
511NYMidHudson,1/17/2020 14:01,Construction on #NY980TRiverRoad Both directions from Farmstead Road to Old Rte 9
511NY,1/17/2020 14:01,Construction on #US19TruckRoute Both directions at Broadwa
511NYMidHudson,1/17/2020 14:01,Construction on #NY100A SB from Knollwood Road Extension to NY 119 - Tarrytown Road - Tarrytown - White Plain
511NY,1/17/2020 14:01,Construction on #NY17 WB from Exit 126 - NY 94 to Exit 124 - NY 17A; Ram
511NYMidHudson,1/17/2020 14:01,Construction on #US9W Both directions from Plum Point Lane to Union Avenu
511NY,1/17/2020 14:01,Construction on #WestchesterAvenue WB from Kenilworth Road to Bryant Avenu
511NYMidHudson,1/17/2020 14:01,Construction on #NY17 WB from Exit 126 - NY 94 to Exit 124 - NY 17A; Ram
511NY,1/17/2020 14:01,Construction on #US30 WB at East of CR 636/Cuthbert R
511NYMidHudson,1/17/2020 14:01,Construction on #WestchesterAvenue WB from Kenilworth Road to Bryant Avenu
511NY,1/17/2020 14:01,Construction on #NY100 Both directions from Grasslands Road to Lakeview Avenu
511NY,1/17/2020 14:00,Incident on #ALine NB from Euclid Avenue Station to Broadway Junctio
511NY,1/17/2020 14:00,Cleared: Incident on #NJ7 EB from CR 508 to Charlotte Circ
511nyACE,1/17/2020 14:00,Incident on #ALine NB from Euclid Avenue Station to Broadway Junctio
511NY,1/17/2020 14:00,Cleared: Incident on #I590 NB at Browncroft Bl
511NY,1/17/2020 13:59,Incident on #I190NiagaraThruway NB from After Exit N9 (I-190) - Peace Bridge - Canada to Black Rock Toll Barrie
511NY,1/17/2020 13:59,Cleared: Incident on #I80 WB from Exit 61 - CR 507/River Rd to Exit 59 - Market 
511NY,1/17/2020 13:59,Updated: Construction on #NJ34 Both directions from North of Paynters Rd to Allenwood R
511NY,1/17/2020 13:59,Cleared: Incident on #BronxwhitestoneBridge SB at Queens Bou
511NY,1/17/2020 13:58,Cleared: Incident on #I287 SB from South of Exit 6 - CR 665/Washington Ave to Exit 3 - New Durham 
511NY,1/17/2020 13:58,Cleared: Incident on #I80 WB from East of Exit 53 - NJ 23/US 46 to Exit 52 - CR 613/Passaic A
511NY,1/17/2020 13:58,Cleared: Incident on #I280 EB from I-80 to East of Exit 1W - New 
511NY,1/17/2020 13:58,Cleared: Incident on #S15S SB at Exit 37 (RTE 12
511NY,1/17/2020 13:58,Updated: Incident on #I80 EB from Exit 56 - Squirrelwood Rd to Exit 57 - NJ 1
511NY,1/17/2020 13:58,Incident on #I80 WB from Exit 61 - CR 507/River Rd to Exit 59 - Market S
511NY,1/17/2020 13:57,Cleared: Incident on #RLine from Forest Hills-71st Avenue Station to Jackson Hts-Roosevelt Avenue Stati
511NY,1/17/2020 13:57,Cleared: Incident on #I287 NB from Exit 1 - US 1 to Exit 3 - New Durham 
511NY,1/17/2020 13:57,Cleared: Incident on #MLine Manhattan bound from Forest Hills-71st Avenue Station to Jackson Hts-Roosevelt Avenue Stati
511NY,1/17/2020 13:57,Cleared: Incident on #US46 EB from CR 640/Riverview Dr to CR 621/Valley 
511NY,1/17/2020 13:56,Incident on #NJ24 WB at West of Exit 7 - NJ 124/JFK Parkwa
511NY,1/17/2020 13:56,Incident on #I87NYSThruway NB from After Exit 19 (I-87) - Kingston (Rte 28) to Exit 20 (I-87) - Saugerties (Rte 32
511NY,1/17/2020 13:54,Cleared: Incident on #I90 EB at Exit 5; Everett Ro
511NY,1/17/2020 13:54,Cleared: Incident on #I87Northway NB at Exit 1 E; Exit 
511NY,1/17/2020 13:54,Cleared: Incident on #NY7 EB at Exit to I-787; Exit to NY 7
511nyRochester,1/17/2020 13:54,Updated: Construction on #I490 WB from I-390 to Howard Road; 940L; Howard Roa
511NY,1/17/2020 13:54,Construction on #US206 SB at I-19
511NY,1/17/2020 13:53,Incident on #PortJeffersonBranch EB from New York Penn Station to Huntington Statio
511NY,1/17/2020 13:53,Construction on #I490 EB from Howard Road; 940L; Howard Road to I-39
511NY,1/17/2020 13:53,Cleared: Incident on #I87Northway SB at Exit 11; Round Lake Ro
511nyRochester,1/17/2020 13:53,Construction on #I490 EB from Howard Road; 940L; Howard Road to I-39
511NY,1/17/2020 13:52,Incident on #US46 EB at CR 635/Browertown R
511nyLongIsland,1/17/2020 13:52,Construction on #LongBeachBranch WB from Long Beach Station to New York Penn Statio
511nyAlbany,1/17/2020 13:50,Incident on #I787 NB at Exit 4B southbound; Clinton Avenue; US 
511NY,1/17/2020 13:49,Cleared: Incident on #BLine NB from Kings Highway Station to Prospect Park Stati
511NY,1/17/2020 13:48,Cleared: Incident on #3Line from 96th Street Station to 72nd Street Stati
511NY,1/17/2020 13:48,Cleared: Incident on #2Line SB from 96th Street Station to 72nd Street Stati
