time,user,text
2/1/2020 4:04,511NY,Cleared: Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level
2/1/2020 4:03,511NY,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level
2/1/2020 4:02,511NYC,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway
2/1/2020 4:02,511NYC,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway
2/1/2020 4:01,511NY,Updated: Special Event on NJPerformingArtsCenter at Victoria Theater
2/1/2020 3:42,511NYC,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level
2/1/2020 3:37,511NYC,Incident on ALine SB at Broadway Junction
2/1/2020 3:32,511NY,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway
2/1/2020 3:31,511NYC,Updated: Special Event on BarclaysCenter
2/1/2020 3:31,511NY,Updated: Special Event on NJPerformingArtsCenter at Victoria Theater
2/1/2020 3:28,511NY,Cleared: Special Event on NJPerformingArtsCenter at Victoria Theater
2/1/2020 3:28,511NY,Cleared: Special Event on BarclaysCenter
2/1/2020 3:03,511NY,Cleared: Incident on HollandTunnel EB at New Jersey
2/1/2020 3:02,511NY,Cleared: Special Event on MadisonSquareGarden at the Arena
2/1/2020 3:01,511NYC,Updated: Special Event on MadisonSquareGarden at the Arena
2/1/2020 3:00,511NY,Construction on UnionTurnpike WB from Park Drive to Queens Blvd
2/1/2020 2:56,511NY,Cleared: Incident on BeltSystemCrossIslandParkway NB at Linden Boulevard
2/1/2020 2:56,511NYC,Incident on HollandTunnel EB at New Jersey
2/1/2020 2:31,511NY,Incident on BeltSystemCrossIslandParkway NB at Linden Boulevard
2/1/2020 2:29,511NY,Incident on MarineParkwayBridge Both directions
2/1/2020 2:28,511NY,Cleared: Incident on PulaskiSkyway SB at Tonnelle Circle
2/1/2020 2:28,511NY,Incident on RFKTriboroughBridge All directions
2/1/2020 2:27,511NY,Incident on ThrogsNeckBridge Both directions
2/1/2020 2:26,511NY,Incident on VerrazanonarrowsBridge Both directions
2/1/2020 2:25,511NY,Incident on HenryHudsonBridge Both directions
2/1/2020 2:24,511NY,Incident on CrossBayBridge Both directions
2/1/2020 2:23,511NY,Incident on BronxwhitestoneBridge Both directions
2/1/2020 2:17,511NY,Updated: Incident on PulaskiSkyway SB at Tonnelle Circle
2/1/2020 2:16,511NY,Cleared: Incident on TaconicStateParkway NB at Jackson Corners Road
2/1/2020 2:16,511NY,Closure on QueensboroBridge EB at Manhattan/Queens Bound
2/1/2020 23:16,511NY,Cleared: Construction on FranklinStreet from Church Street to Broadway
2/1/2020 23:16,511NY,Cleared: Construction on NevinsStreet from Butler Street to Douglass Street
2/1/2020 23:01,511NY,Updated: Construction on FranklinStreet from Church Street to Broadway
2/1/2020 23:01,511NY,Updated: Construction on NevinsStreet from Butler Street to Douglass Street
2/1/2020 22:50,511NY,Updated: Incident on HobokennjTransitTerminalRoute at Hoboken/NJ Transit Terminal
2/1/2020 22:01,511NY,Cleared: Incident on HollandTunnel WB at New Jersey Side - North Tube
2/1/2020 22:00,511NY,Incident on HollandTunnel WB at New Jersey Side - North Tube
2/1/2020 21:18,511NY,Cleared: Incident on TaconicStateParkway NB at Croton Reservoir Bridge
2/1/2020 21:17,511NY,Incident on HobokennjTransitTerminalRoute at Hoboken/NJ Transit Terminal
2/1/2020 21:13,511NY,Cleared: Incident on HarlemRiverDrive NB at George Washington Bridge
2/1/2020 21:02,511NY,Cleared: Special Event on BarclaysCenter
2/1/2020 21:01,511NY,Updated: Special Event on BarclaysCenter
2/1/2020 21:01,511NY,Cleared: Special Event on MeadowlandsSportsComplex
2/1/2020 20:42,511NY,Incident on TaconicStateParkway NB at Croton Reservoir Bridge
2/1/2020 20:41,511NY,Updated: Special Event on BarclaysCenter
2/1/2020 20:32,511NY,Cleared: Construction on TaconicStateParkway NB at Lakeview Avenue
